AÑO;MES;PROM_PRECIO_BOLSA;APORTES;VOLUMEN_UTIL
2015;1;187.6;0.7833;0.6519
2015;2;166.23;1.0476;0.5587
2015;3;205.5;0.8644;0.4511
2015;4;161.33;0.9443;0.454
2015;5;259.21;0.6866;0.4624
2015;6;186.42;1.0776;0.6085
2015;7;206.17;0.9696;0.6769
2015;8;183.71;0.9684;0.6972
2015;9;459.11;0.6595;0.6485
2015;10;1106.81;0.4967;0.625
2015;11;767.26;0.6346;0.6672
2015;12;630.48;0.5174;0.6117
2016;1;554.43;0.5075;0.5233
2016;2;646.13;0.5679;0.4358
2016;3;830.08;0.5756;0.3898
2016;4;332.57;0.8005;0.4053
2016;5;140.59;0.7807;0.4448
2016;6;168.52;0.7348;0.4749
2016;7;129.16;0.9416;0.563
2016;8;198.01;0.8207;0.5646
2016;9;150.59;1.0587;0.6161
2016;10;184.91;0.8157;0.6571
2016;11;166.53;0.9678;0.7269
2016;12;107.44;1.095;0.7385
2017;1;111.56;1.273;0.6798
2017;2;156.99;0.8479;0.5541
2017;3;119.81;1.6265;0.5881
2017;4;96.48;0.9566;0.5849
2017;5;71.65;1.2397;0.7155
2017;6;68.5;1.0303;0.7838
2017;7;70.48;0.8989;0.8019
2017;8;92.55;0.7798;0.7558
2017;9;124.35;0.8705;0.7418
2017;10;137.34;0.6923;0.7056
2017;11;126.71;0.8622;0.7236
2017;12;101.35;0.814;0.6456
2018;1;124.48;1.1536;0.594
2018;2;140.03;0.8399;0.496
2018;3;172.13;0.848;0.3966
2018;4;115.33;1.3247;0.4746
2018;5;74.7;1.4373;0.6737
2018;6;74.07;1.1951;0.7855
2018;7;79.87;1.0486;0.8123
2018;8;94.96;0.9501;0.8027
2018;9;101.43;0.8645;0.783
2018;10;119.97;0.9074;0.8118
2018;11;104.13;0.8577;0.8172
2018;12;191.07;0.6419;0.7173
2019;1;285.35;0.6976;0.6008
2019;2;303.46;0.7838;0.4988
2019;3;262.83;0.9206;0.4328
2019;4;189.88;1.0877;0.4707
2019;5;172.13;0.9944;0.5754
2019;6;113.28;1.1122;0.7063
2019;7;122.33;0.9651;0.7486
2019;8;147.26;0.7759;0.714
2019;9;284.76;0.6915;0.6596
2019;10;321.32;0.8107;0.7015
2019;11;232.91;0.7259;0.7028
2019;12;308.51;0.7544;0.6583
2020;1;322.97;0.7031;0.5418
2020;2;430.55;0.6833;0.4343
2020;3;339.38;0.6974;0.3462
2020;4;252.13;0.6026;0.3181
2020;5;360.82;0.5875;0.3516
2020;6;306.29;0.7935;0.4746
2020;7;156.75;1.0425;0.6253
2020;8;159.02;0.7946;0.6478
2020;9;150.96;0.886;0.6893
2020;10;198.11;0.6906;0.6785
2020;11;179.58;1.1258;0.7655
2020;12;163.24;0.8918;0.7188
2021;1;181.56;1.0027;0.6278
2021;2;270.12;0.9625;0.5349
2021;3;165.9;1.7192;0.5788
2021;4;162.54;1.1097;0.6281
2021;5;100.49;1.3207;0.8014
2021;6;90.38;1.3814;0.8426
2021;7;91.7;1.09;0.8598
2021;8;93.59;1.1651;0.8678
2021;9;107.99;1.0943;0.8457
2021;10;103.72;1.0054;0.8483
2021;11;104.17;0.9934;0.8463
2021;12;335.4;0.8355;0.7905
2022;1;289.89;0.907;0.678
2022;2;399.11;1.1367;0.5931
2022;3;226.97;1.5022;0.5738
2022;4;143.77;1.3309;0.6397
2022;5;105.29;1.0382;0.7197
2022;6;104.03;1.2391;0.8145
2022;7;109.27;1.187;0.8652
2022;8;145.64;1.2077;0.8509
2022;9;241.95;1.1545;0.8401
2022;10;298.17;1.2804;0.8567
2022;11;184.74;1.3732;0.8714
2022;12;337.77;1.0271;0.7904
2023;1;371.81;1.4247;0.7149
2023;2;527.26;0.9317;0.5949
2023;3;291.47;1.7116;0.5988
2023;4;223.07;1.14;0.6211
2023;5;568.12;0.7712;0.6543
2023;6;459.6;0.8351;0.7243
2023;7;522.26;0.9227;0.8123
2023;8;528.89;0.7987;0.8076
2023;9;1019.81;0.5572;0.7368
2023;10;1026.47;0.5483;0.728
2023;11;500.61;0.748;0.7481
2023;12;655.42;0.5802;0.702
2024;1;558.91;0.5394;0.5579
2024;2;569.85;0.6267;0.438
2024;3;622.9;0.4543;0.3151
2024;4;748.45;0.5965;0.3291
2024;5;290.98;0.9799;0.4369
2024;6;280.06;1.1645;0.5794
2024;7;284.84;0.935;0.5933
2024;8;567.59;0.6568;0.5452
2024;9;873.53;0.5833;0.5019
2024;10;1532.69;0.617;0.5529
2024;11;1032.84;0.9026;0.6702
2024;12;741.69;0.7326;0.6802
2025;1;373.87;1.1122;0.6521
